iter	Passed	Remaining
589	13243	9203
590	13267	9181
591	13300	9166
592	13321	9142
593	13354	9127
594	13374	9103
595	13395	9079
596	13414	9055
597	13434	9031
598	13454	9007
599	13475	8983
600	13495	8959
601	13521	8939
602	13543	8916
603	13563	8892
604	13583	8868
605	13602	8843
606	13620	8818
607	13640	8794
608	13678	8782
609	13697	8757
610	13716	8732
611	13736	8708
612	13755	8684
613	13774	8659
614	13796	8636
615	13815	8612
616	13835	8588
617	13854	8563
618	13873	8539
619	13893	8515
620	13922	8496
621	13942	8472
622	13962	8448
623	13982	8425
624	14003	8402
625	14024	8378
626	14043	8354
627	14062	8330
628	14081	8305
629	14101	8281
630	14123	8259
631	14143	8235
632	14164	8212
633	14186	8189
634	14205	8165
635	14225	8141
636	14244	8117
637	14263	8093
638	14285	8070
639	14305	8046
640	14327	8024
641	14347	8000
642	14367	7977
643	14388	7953
644	14408	7930
645	14429	7907
646	14450	7884
647	14471	7860
648	14491	7837
649	14517	7816
650	14535	7792
651	14554	7768
652	14573	7744
653	14593	7720
654	14613	7697
655	14632	7673
656	14653	7649
657	14676	7628
658	14697	7605
659	14718	7582
660	14739	7559
661	14760	7536
662	14785	7515
663	14806	7492
664	14825	7468
665	14848	7446
666	14870	7423
667	14890	7400
668	14910	7377
669	14931	7354
670	14952	7331
671	14972	7307
672	14991	7284
673	15010	7260
674	15029	7236
675	15048	7212
676	15074	7192
677	15095	7169
678	15116	7146
679	15135	7122
680	15156	7099
681	15176	7076
682	15196	7053
683	15215	7029
684	15235	7006
685	15255	6982
686	15275	6959
687	15294	6936
688	15315	6912
689	15334	6889
690	15353	6865
691	15372	6841
692	15392	6818
693	15413	6796
694	15433	6773
695	15455	6750
696	15476	6727
697	15497	6705
698	15516	6681
699	15536	6658
700	15557	6635
701	15577	6612
702	15599	6590
703	15618	6566
704	15637	6543
705	15655	6519
706	15674	6495
707	15692	6471
708	15710	6448
709	15735	6427
710	15758	6405
711	15776	6381
712	15815	6365
713	15834	6342
714	15854	6319
715	15876	6297
716	15896	6274
717	15916	6251
718	15936	6228
719	15955	6205
720	15975	6182
721	15995	6158
722	16015	6136
723	16035	6112
724	16070	6095
725	16091	6073
726	16111	6050
727	16130	6026
728	16153	6005
729	16175	5982
730	16197	5960
731	16218	5938
732	16241	5916
733	16264	5894
734	16283	5870
735	16306	5848
736	16325	5825
737	16359	5807
738	16379	5784
739	16404	5763
740	16427	5741
741	16447	5718
742	16468	5696
743	16489	5673
744	16509	5650
745	16529	5627
746	16548	5604
747	16570	5582
748	16589	5559
749	16609	5536
750	16629	5513
751	16652	5491
752	16672	5469
753	16693	5446
754	16713	5423
755	16737	5402
756	16758	5379
757	16792	5361
758	16813	5338
759	16836	5316
760	16869	5298
761	16889	5275
762	16912	5253
763	16934	5230
764	16953	5207
765	16973	5185
766	16994	5162
767	17015	5140
768	17035	5117
769	17056	5094
770	17077	5072
771	17100	5050
772	17124	5028
773	17143	5005
774	17164	4983
775	17183	4960
776	17206	4938
777	17226	4915
778	17245	4892
779	17267	4870
780	17288	4847
781	17309	4825
782	17329	4802
783	17348	4779
784	17368	4756
785	17388	4734
786	17415	4713
787	17435	4690
788	17456	4668
789	17477	4646
790	17499	4623
791	17520	4601
792	17540	4578
793	17564	4557
794	17585	4534
795	17603	4511
796	17623	4488
797	17643	4466
798	17663	4443
799	17683	4420
800	17702	4398
801	17722	4375
802	17743	4352
803	17763	4330
804	17782	4307
805	17805	4285
806	17825	4263
807	17846	4240
808	17867	4218
809	17887	4195
810	17906	4173
811	17926	4150
812	17946	4127
813	17965	4105
814	17984	4082
815	18003	4059
816	18022	4036
817	18044	4014
818	18065	3992
819	18117	3976
820	18135	3954
821	18158	3932
822	18178	3909
823	18197	3886
824	18216	3864
825	18235	3841
826	18255	3818
827	18275	3796
828	18295	3773
829	18315	3751
830	18334	3728
831	18353	3706
832	18377	3684
833	18409	3664
834	18429	3641
835	18449	3619
836	18469	3596
837	18490	3574
838	18509	3551
839	18534	3530
840	18554	3507
841	18574	3485
842	18594	3463
843	18614	3440
844	18633	3417
845	18652	3395
846	18670	3372
847	18691	3350
848	18732	3331
849	18754	3309
850	18773	3286
851	18791	3264
852	18811	3241
853	18832	3219
854	18854	3197
855	18873	3175
856	18893	3152
857	18912	3130
858	18933	3107
859	18952	3085
860	18971	3062
861	19021	3045
862	19040	3022
863	19059	3000
864	19078	2977
865	19098	2955
866	19119	2932
867	19138	2910
868	19159	2888
869	19178	2865
870	19200	2843
871	19238	2823
872	19257	2801
873	19278	2779
874	19298	2756
875	19319	2734
876	19340	2712
877	19364	2690
878	19385	2668
879	19418	2647
880	19440	2625
881	19459	2603
882	19479	2581
883	19500	2558
884	19520	2536
885	19540	2514
886	19558	2491
887	19587	2470
888	19606	2448
889	19648	2428
890	19670	2406
891	19690	2384
892	19710	2361
893	19734	2339
894	19765	2318
895	19786	2296
896	19810	2274
897	19843	2253
898	19863	2231
899	19884	2209
900	19904	2187
901	19923	2164
902	19942	2142
903	19962	2119
904	19981	2097
905	20002	2075
906	20024	2053
907	20044	2030
908	20065	2008
909	20085	1986
910	20104	1964
911	20128	1942
912	20148	1919
913	20167	1897
914	20190	1875
915	20210	1853
916	20228	1830
917	20247	1808
918	20267	1786
919	20286	1764
920	20306	1741
921	20326	1719
922	20348	1697
923	20368	1675
924	20390	1653
925	20412	1631
926	20433	1609
927	20453	1586
928	20474	1564
929	20494	1542
930	20514	1520
931	20534	1498
932	20562	1476
933	20582	1454
934	20602	1432
935	20626	1410
936	20657	1388
937	20681	1367
938	20704	1345
939	20726	1322
940	20747	1300
941	20770	1278
942	20791	1256
943	20810	1234
944	20830	1212
945	20850	1190
946	20871	1168
947	20892	1146
948	20912	1123
949	20932	1101
950	20952	1079
951	20971	1057
952	20992	1035
953	21011	1013
954	21030	990
955	21051	968
956	21071	946
957	21090	924
958	21110	902
959	21131	880
960	21148	858
961	21170	836
962	21190	814
963	21209	792
964	21230	770
965	21250	747
966	21268	725
967	21289	703
968	21310	681
969	21329	659
970	21349	637
971	21374	615
972	21394	593
973	21417	571
974	21437	549
975	21457	527
976	21477	505
977	21497	483
978	21517	461
979	21537	439
980	21562	417
981	21581	395
982	21601	373
983	21620	351
984	21644	329
985	21663	307
986	21689	285
987	21710	263
988	21736	241
989	21756	219
990	21776	197
991	21796	175
992	21816	153
993	21836	131
994	21856	109
995	21875	87
996	21895	65
997	21916	43
998	21935	21
999	21954	0
